2022-04-05 02:54:15,382 - payo | https://clips.twitch.tv/LachrymoseCalmShrimpCoolCat-EE5EQgWrfB_TfXV0/edit ~ (inc:15, avg:7.11, diff:2.11)
2022-04-05 02:54:30,587 - lcs | https://clips.twitch.tv/LuckySmoggyGrasshopperBudStar-XQfflCy6UbkkMdCQ/edit ~ (inc:12, avg:5.27, diff:2.28)
2022-04-05 02:55:03,465 - payo | https://clips.twitch.tv/SourLightOwlPermaSmug-A5GhGPal7CaNgQI7/edit ~ (inc:28, avg:10.95, diff:2.56)
2022-04-05 02:58:38,487 - lcs | https://clips.twitch.tv/TameNimbleStinkbugTBTacoLeft-Cn0EDeaETMOnj8Qg/edit ~ (inc:13, avg:6.79, diff:1.92)
2022-04-05 02:59:11,217 - payo | https://clips.twitch.tv/AlluringRudeEyeballWTRuck-vi84u6T-eLK-pFtC/edit ~ (inc:31, avg:15.61, diff:1.99)
2022-04-05 02:59:55,080 - payo | https://clips.twitch.tv/AmazonianVainBillPhilosoraptor-TeMerdddAmSLX8lt/edit ~ (inc:39, avg:20.51, diff:1.9)
2022-04-05 03:06:12,329 - lcs | https://clips.twitch.tv/PeppyAbrasiveAdminKreygasm-l4-8UD5aoCjpHt6U/edit ~ (inc:15, avg:7.87, diff:1.91)
2022-04-05 03:08:28,740 - payo | https://clips.twitch.tv/SucculentHeadstrongOrangeTwitchRPG-iefQSnGg2z8ydvUr/edit ~ (inc:30, avg:15.64, diff:1.92)
2022-04-05 03:09:14,962 - lcs | https://clips.twitch.tv/TenaciousResourcefulCoffeeYee-bSPITNIBDTP1RHfs/edit ~ (inc:17, avg:8.74, diff:1.95)
2022-04-05 03:10:47,775 - lcs | https://clips.twitch.tv/ClumsyCuriousMarjoramDatBoi-6pIvhaT-_mUxfPTB/edit ~ (inc:19, avg:9.43, diff:2.01)
2022-04-05 03:12:49,342 - payo | https://clips.twitch.tv/NurturingLightGerbilFrankerZ-JnF-ytimHeKMHlxK/edit ~ (inc:33, avg:16.62, diff:1.99)
